Original | Correct | Predict
快讯：行业政策利好传出，亿时空午后股价直线拉升。 | 快讯：行业政策利好传出，八亿时空午后股价直线拉升。 | 快讯：行业政策利好传出，亿时空午后股价直线拉升。
据最新公告，赫份已获得重要专利授权，市场预期积极。 | 据最新公告，迈赫股份已获得重要专利授权，市场预期积极。 | 据最新公告，股份已获得重要专利授权，市场预期积极。
据最新公告，阳股份拟进行重大资产重组，已申请停牌。 | 据最新公告，阳光股份拟进行重大资产重组，已申请停牌。 | 据最新公告，阳股份拟进行重大资产重组，已申请停牌。
在股吧里，关于集团是否该'割肉'的争论十分激烈。 | 在股吧里，关于爱建集团是否该'割肉'的争论十分激烈。 | 在股吧里，关于集团是否该'割肉'的争论十分激烈。
有用户发帖称：瑞传播的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：博瑞传播的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：瑞传播的技术面出现金叉信号，可以抄底吗？
快讯：丹股份今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：正丹股份今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：丹股份今日主力资金净流入超亿元，市场关注度骤升。
深度报告认为，东业在AI算力领域的布局具备长期竞争优势。 | 深度报告认为，东方锆业在AI算力领域的布局具备长期竞争优势。 | 深度报告认为，东业在AI算力领域的布局具备长期竞争优势。
深度报告认为，晶技在AI算力领域的布局被市场低估。 | 深度报告认为，晶赛科技在AI算力领域的布局被市场低估。 | 深度报告认为，科技在AI算力领域的布局被市场低估。
快讯：自控今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：万讯自控今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：自控今日主力资金净流入超亿元，市场关注度骤升。
本季度，富业在海外市场的营收贡献首次超过国内。 | 本季度，富临运业在海外市场的营收贡献首次超过国内。 | 本季度，富业在海外市场的营收贡献首次超过国内。
有用户在论坛发帖称：禾味的技术面已出现金叉信号，可以跟进吗？ | 有用户在论坛发帖称：千禾味业的技术面已出现金叉信号，可以跟进吗？ | 有用户在论坛发帖称：禾味的技术面已出现金叉信号，可以跟进吗？
据最新公告，小康份拟以现金方式收购同行业一家中型企业。 | 据最新公告，小康股份拟以现金方式收购同行业一家中型企业。 | 据最新公告，小康份拟以现金方式收购同行业一家中型企业。
有用户在论坛发帖称：景智能的庄家正在悄悄吸筹，大家怎么看？ | 有用户在论坛发帖称：景业智能的庄家正在悄悄吸筹，大家怎么看？ | 有用户在论坛发帖称：景智能的庄家正在悄悄吸筹，大家怎么看？
在行业论坛中，多位分析师对药业的ESG评级提升展开热议。 | 在行业论坛中，多位分析师对海创药业的ESG评级提升展开热议。 | 在行业论坛中，多位分析师对药业的ESG评级提升展开热议。
有用户在论坛发帖称：中国电的估值已经严重偏离基本面。 | 有用户在论坛发帖称：中国电研的估值已经严重偏离基本面。 | 有用户在论坛发帖称：中国电的估值已经严重偏离基本面。
您好，请问如何开通峰技的港股通交易权限？ | 您好，请问如何开通光峰科技的港股通交易权限？ | 您好，请问如何开通科技的港股通交易权限？
据最新公告，锌业拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，锌业股份拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，锌业拟以自有资金回购不超过总股本5%的股份。
有用户发帖称：亚股的技术面出现金叉，可以抄底了吗？ | 有用户发帖称：亚太股份的技术面出现金叉，可以抄底了吗？ | 有用户发帖称：个股的技术面出现金叉，可以抄底了吗？
客服您好，请问虹份的股东大会股权登记日是哪一天？ | 客服您好，请问天虹股份的股东大会股权登记日是哪一天？ | 客服您好，请问股份的股东大会股权登记日是哪一天？
据最新公告，地拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，天地源拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，拟拟以自有资金回购不超过总股本5%的股份。
有用户发帖称：华股份的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：华锋股份的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：华股份的技术面出现金叉信号，可以抄底吗？
快讯：进能今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：思进智能今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：绿能今日主力资金净流入超亿元，市场关注度骤升。
行业周报指出，金力在新兴市场的扩张速度超出预期。 | 行业周报指出，金力泰在新兴市场的扩张速度超出预期。 | 行业周报指出，金力在新兴市场的扩张速度超出预期。
有用户发帖称：广通的技术面出现金叉信号，可以抄底了吗？ | 有用户发帖称：广和通的技术面出现金叉信号，可以抄底了吗？ | 有用户发帖称：广通的技术面出现金叉信号，可以抄底了吗？
有用户在论坛发帖称：'重仓了木股份，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了徕木股份，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了木股份，坐等下周起飞！'
有用户发帖称：华环的庄家正在洗盘，散户要小心。 | 有用户发帖称：华光环能的庄家正在洗盘，散户要小心。 | 有用户发帖称：华环的庄家正在洗盘，散户要小心。
快看公告！金股份明天就要开股东大会了。 | 快看公告！金鹰股份明天就要开股东大会了。 | 快看公告！金股份明天就要开股东大会了。
客服您好，请问如何开通源份的港股通交易权限？ | 客服您好，请问如何开通正源股份的港股通交易权限？ | 客服您好，请问如何开通股份的港股通交易权限？
据最新公告，科技拟进行重大资产重组，已申请停牌。 | 据最新公告，隆利科技拟进行重大资产重组，已申请停牌。 | 据最新公告，科技拟进行重大资产重组，已申请停牌。
据最新公告，润备拟进行重大资产重组，已申请停牌。 | 据最新公告，通润装备拟进行重大资产重组，已申请停牌。 | 据最新公告，准备拟进行重大资产重组，已申请停牌。
本季度，媒股份的毛利率环比提升，主要得益于成本控制。 | 本季度，新媒股份的毛利率环比提升，主要得益于成本控制。 | 本季度，媒股份的毛利率环比提升，主要得益于成本控制。
据最新公告，三维份拟进行重大资产重组，已申请停牌。 | 据最新公告，三维股份拟进行重大资产重组，已申请停牌。 | 据最新公告，三维份拟进行重大资产重组，已申请停牌。
请问贵司西证今年的分红方案何时公布？ | 请问贵司山西证券今年的分红方案何时公布？ | 请问贵司西证今年的分红方案何时公布？
技术面看，银科已突破关键阻力位，短期趋势转强。 | 技术面看，荃银高科已突破关键阻力位，短期趋势转强。 | 技术面看，银科已突破关键阻力位，短期趋势转强。
宏观政策利好背景下，国材所属板块有望迎来估值修复。 | 宏观政策利好背景下，国瓷材料所属板块有望迎来估值修复。 | 宏观政策利好背景下，国材所属板块有望迎来估值修复。
客服您好，请问在哪里可以查询到万智的历史分红记录？ | 客服您好，请问在哪里可以查询到万胜智能的历史分红记录？ | 客服您好，请问在哪里可以查询到万智的历史分红记录？
快讯：聚股今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：聚辰股份今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：个股今日主力资金净流入超亿元，市场关注度骤升。
有用户在论坛发帖称：丰股的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：荣丰控股的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：个股的技术面出现金叉信号，值得关注。
模型测算显示，新材的隐含波动率已处于历史低位区间。 | 模型测算显示，新纶新材的隐含波动率已处于历史低位区间。 | 模型测算显示，新材的隐含波动率已处于历史低位区间。
客服您好，我想查询一下元物这支股票的分红派息记录。 | 客服您好，我想查询一下和元生物这支股票的分红派息记录。 | 客服您好，我想查询一下元物这支股票的分红派息记录。
有用户发帖称：州黄河的庄家正在出货，大家注意风险！ | 有用户发帖称：兰州黄河的庄家正在出货，大家注意风险！ | 有用户发帖称：深黄河的庄家正在出货，大家注意风险！
快讯：行业政策利好频出，镇展午后开盘迅速拉升封板。 | 快讯：行业政策利好频出，镇洋发展午后开盘迅速拉升封板。 | 快讯：行业政策利好频出，发展午后开盘迅速拉升封板。
客服您好，请问斯的股息发放日具体是哪一天？ | 客服您好，请问拓斯达的股息发放日具体是哪一天？ | 客服您好，请问我的股息发放日具体是哪一天？
客服您好，我想查询一下博子这支股票的分红派息记录。 | 客服您好，我想查询一下博敏电子这支股票的分红派息记录。 | 客服您好，我想查询一下博子这支股票的分红派息记录。
宏观政策利好下，光庭信所属行业景气度有望持续提升。 | 宏观政策利好下，光庭信息所属行业景气度有望持续提升。 | 宏观政策利好下，光朗信所属行业景气度有望持续提升。
行业分析指出，湖宝在细分赛道的护城河正持续加深。 | 行业分析指出，新湖中宝在细分赛道的护城河正持续加深。 | 行业分析指出，湖宝在细分赛道的护城河正持续加深。
有用户发帖称：热景生的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：热景生物的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：热水生的技术面出现金叉信号，可以抄底吗？
据最新公告，上股拟进行重大资产重组，已申请停牌。 | 据最新公告，勤上股份拟进行重大资产重组，已申请停牌。 | 据最新公告，上股拟进行重大资产重组，已申请停牌。
有用户发帖称：'重仓了兴环，坐等下周起飞！' | 有用户发帖称：'重仓了同兴环保，坐等下周起飞！' | 有用户发帖称：'重仓了中环，坐等下周起飞！'
宏观政策利好下，炬申份所属板块有望迎来估值修复。 | 宏观政策利好下，炬申股份所属板块有望迎来估值修复。 | 宏观政策利好下，炬股份所属板块有望迎来估值修复。
客服记录显示，客户多次咨询创环保的分红派息具体到账时间。 | 客服记录显示，客户多次咨询创业环保的分红派息具体到账时间。 | 客服记录显示，客户多次咨询创环保的分红派息具体到账时间。
客服您好，请问在哪里可以查询到浩云技的历史分红记录？ | 客服您好，请问在哪里可以查询到浩云科技的历史分红记录？ | 客服您好，请问在哪里可以查询到浩云技的历史分红记录？
快讯：海清科今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：华海清科今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：海清科今日主力资金净流入超亿元，市场关注度骤升。
有用户发帖称：格电器的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：格力电器的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：格电器的技术面出现金叉信号，可以抄底吗？
快讯：富达今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：富士达今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：富达今日主力资金净流入超亿元，市场关注度骤升。
据最新公告，茂拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，永茂泰拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，茂拟以自有资金回购不超过总股本5%的股份。
本季度，菱信的现金流状况成为机构调研的焦点。 | 本季度，熙菱信息的现金流状况成为机构调研的焦点。 | 本季度，菱信的现金流状况成为机构调研的焦点。
股吧里热议：深地A今天这量价配合，是不是有主力在吸筹？ | 股吧里热议：深天地A今天这量价配合，是不是有主力在吸筹？ | 股吧里热议：深房A今天这量价配合，是不是有主力在吸筹？
客服记录显示，客户多次咨询关于股份债券兑付的具体安排。 | 客服记录显示，客户多次咨询关于柳化股份债券兑付的具体安排。 | 客服记录显示，客户多次咨询关于股份债券兑付的具体安排。
客服您好，我想查询一下扬新的股东户数最新数据。 | 客服您好，我想查询一下扬帆新材的股东户数最新数据。 | 客服您好，我想查询一下最新的股东户数最新数据。
有用户在论坛发帖称：'重仓了楚，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了楚天龙，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了吧，坐等下周起飞！'
据最新公告，大集拟进行重大资产重组，已申请停牌。 | 据最新公告，方大集团拟进行重大资产重组，已申请停牌。 | 据最新公告，大集拟进行重大资产重组，已申请停牌。
有用户发帖称：'重仓了锋锂业，坐等下周起飞！' | 有用户发帖称：'重仓了赣锋锂业，坐等下周起飞！' | 有用户发帖称：'重仓了锋锂业，坐等下周起飞！'
有用户在论坛提问：'华苗的股息率今年还能维持吗？' | 有用户在论坛提问：'华兰疫苗的股息率今年还能维持吗？' | 有用户在论坛提问：'华为的股息率今年还能维持吗？'
有用户在论坛提问：'臣业的股息率今年还能维持吗？' | 有用户在论坛提问：'丽臣实业的股息率今年还能维持吗？' | 有用户在论坛提问：'行业的股息率今年还能维持吗？'
行业分析指出，惠在细分领域的市占率有望持续提升。 | 行业分析指出，惠而浦在细分领域的市占率有望持续提升。 | 行业分析指出，tcl在细分领域的市占率有望持续提升。
据最新公告，金龙机拟进行重大资产重组，已申请停牌。 | 据最新公告，金龙机电拟进行重大资产重组，已申请停牌。 | 据最新公告，金龙机拟进行重大资产重组，已申请停牌。
快讯：市场传闻冠新材正与某行业巨头洽谈战略合作。 | 快讯：市场传闻明冠新材正与某行业巨头洽谈战略合作。 | 快讯：市场传闻冠新材正与某行业巨头洽谈战略合作。
客服您好，我想咨询一下拓外的除权除息具体安排。 | 客服您好，我想咨询一下康拓红外的除权除息具体安排。 | 客服您好，我想咨询一下拓外的除权除息具体安排。
据最新公告，上海洗拟以自有资金回购公司股份。 | 据最新公告，上海洗霸拟以自有资金回购公司股份。 | 据最新公告，上海电拟以自有资金回购公司股份。
有用户发帖称：南电商的庄家正在洗盘，散户要小心。 | 有用户发帖称：南极电商的庄家正在洗盘，散户要小心。 | 有用户发帖称：南电商的庄家正在洗盘，散户要小心。
突发：市场传闻秦机床正筹划重大资产重组事项。 | 突发：市场传闻秦川机床正筹划重大资产重组事项。 | 突发：市场传闻秦机床正筹划重大资产重组事项。
深度报告认为，启业在AI算力领域的布局具备长期竞争优势。 | 深度报告认为，启迪药业在AI算力领域的布局具备长期竞争优势。 | 深度报告认为，行业在AI算力领域的布局具备长期竞争优势。
有用户在论坛提问：'为科技明天会涨停吗？求大神分析！' | 有用户在论坛提问：'恒为科技明天会涨停吗？求大神分析！' | 有用户在论坛提问：'为科技明天会涨停吗？求大神分析！'
股吧里都在传，博药下周可能有重磅合作消息公布！ | 股吧里都在传，博济医药下周可能有重磅合作消息公布！ | 股吧里都在传，博药下周可能有重磅合作消息公布！
客服您好，请问如何查询赣锋业的历史分红记录？ | 客服您好，请问如何查询赣锋锂业的历史分红记录？ | 客服您好，请问如何查询赣锋业的历史分红记录？
有用户发帖称：羽臣的技术面出现金叉信号，可以抄底了吗？ | 有用户发帖称：若羽臣的技术面出现金叉信号，可以抄底了吗？ | 有用户发帖称：羽股的技术面出现金叉信号，可以抄底了吗？
技术分析显示，江苏已突破关键阻力位，短期趋势转强。 | 技术分析显示，江苏舜天已突破关键阻力位，短期趋势转强。 | 技术分析显示，江苏已突破关键阻力位，短期趋势转强。
据最新公告，天源拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，天源环保拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，天源拟以自有资金回购不超过总股本5%的股份。
据最新公告，玛精密拟进行重大资产重组，已申请停牌。 | 据最新公告，瑞玛精密拟进行重大资产重组，已申请停牌。 | 据最新公告，玛精密拟进行重大资产重组，已申请停牌。
宏观政策利好背景下，ST大通所属板块有望迎来估值修复。 | 宏观政策利好背景下，*ST大通所属板块有望迎来估值修复。 | 宏观政策利好背景下，ST大通所属板块有望迎来估值修复。
您好，我想咨询一下关于万通控分红派息的具体到账时间。 | 您好，我想咨询一下关于万通智控分红派息的具体到账时间。 | 您好，我想咨询一下关于万通控分红派息的具体到账时间。
有用户发帖称：锐份的订单量近期出现了超预期的增长。 | 有用户发帖称：锐奇股份的订单量近期出现了超预期的增长。 | 有用户发帖称：股份的订单量近期出现了超预期的增长。
有用户在论坛发帖称：绿城务的庄家正在悄悄吸筹，后市可期。 | 有用户在论坛发帖称：绿城水务的庄家正在悄悄吸筹，后市可期。 | 有用户在论坛发帖称：绿城仙的庄家正在悄悄吸筹，后市可期。
快讯：望布艺今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：众望布艺今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：望布艺今日主力资金净流入超亿元，市场关注度骤升。
技术面看，大圣亚已突破关键阻力位，短期趋势转强。 | 技术面看，大连圣亚已突破关键阻力位，短期趋势转强。 | 技术面看，大圣亚已突破关键阻力位，短期趋势转强。
有用户发帖称：伦生的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：赛伦生物的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：学生的技术面出现金叉信号，可以抄底吗？
公司公告显示，涪电力拟以现金方式收购同行业一家中小企业，以拓展市场份额。 | 公司公告显示，涪陵电力拟以现金方式收购同行业一家中小企业，以拓展市场份额。 | 公司公告显示，涪电力拟以现金方式收购同行业一家中小企业，以拓展市场份额。
本季度，电气的现金流状况显著改善，负债压力缓解。 | 本季度，云意电气的现金流状况显著改善，负债压力缓解。 | 本季度，电气的现金流状况显著改善，负债压力缓解。
深度报告认为，渤股在AI算力领域的布局被市场低估。 | 深度报告认为，渤海股份在AI算力领域的布局被市场低估。 | 深度报告认为，a股在AI算力领域的布局被市场低估。
市场传闻科技正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻必得科技正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻科技正与某行业巨头洽谈战略合作，引发广泛猜测。
据最新公告，英科技拟实施股份回购计划，以提振市场信心。 | 据最新公告，中英科技拟实施股份回购计划，以提振市场信心。 | 据最新公告，英科技拟实施股份回购计划，以提振市场信心。
大家觉得国新能明天会涨停吗？评论区聊聊！ | 大家觉得国新能源明天会涨停吗？评论区聊聊！ | 大家觉得国新能明天会涨停吗？评论区聊聊！
请问贵司*T洲今年的分红方案何时公布？ | 请问贵司*ST同洲今年的分红方案何时公布？ | 请问贵司*T股今年的分红方案何时公布？
宏观政策利好下，扬新所属板块有望迎来估值修复。 | 宏观政策利好下，扬子新材所属板块有望迎来估值修复。 | 宏观政策利好下，高新所属板块有望迎来估值修复。
据最新公告，美高拟进行重大资产重组，已申请停牌。 | 据最新公告，美之高拟进行重大资产重组，已申请停牌。 | 据最新公告，美高拟进行重大资产重组，已申请停牌。
客服您好，请问如何查询晶科的历史分红记录？ | 客服您好，请问如何查询和晶科技的历史分红记录？ | 客服您好，请问如何查询晶科的历史分红记录？
快讯：奥娱今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：奥飞娱乐今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：奥娱今日主力资金净流入超亿元，市场关注度骤升。
有用户在论坛提问：'振华重的股息率今年还能维持吗？' | 有用户在论坛提问：'振华重工的股息率今年还能维持吗？' | 有用户在论坛提问：'振华重的股息率今年还能维持吗？'
据最新公告，流岁已获得重要专利授权，市场预期积极。 | 据最新公告，流金岁月已获得重要专利授权，市场预期积极。 | 据最新公告，五岁已获得重要专利授权，市场预期积极。
深度解读：仙坛份此次资产重组，究竟是其转型的关键一步还是无奈之举？ | 深度解读：仙坛股份此次资产重组，究竟是其转型的关键一步还是无奈之举？ | 深度解读：仙坛份此次资产重组，究竟是其转型的关键一步还是无奈之举？
快讯：北能今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：北清环能今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：北能今日主力资金净流入超亿元，市场关注度骤升。
有用户在论坛发帖称：浙文业的技术面出现金叉信号，可以抄底吗？ | 有用户在论坛发帖称：浙文影业的技术面出现金叉信号，可以抄底吗？ | 有用户在论坛发帖称：浙文业的技术面出现金叉信号，可以抄底吗？
宏观政策利好下，二五所属板块有望迎来估值修复行情。 | 宏观政策利好下，二三四五所属板块有望迎来估值修复行情。 | 宏观政策利好下，二五所属板块有望迎来估值修复行情。
据最新公告，生物拟进行重大资产重组，已申请停牌。 | 据最新公告，华绿生物拟进行重大资产重组，已申请停牌。 | 据最新公告，生物拟进行重大资产重组，已申请停牌。
大家觉得百股份明天会涨停吗？评论区聊聊你的看法！ | 大家觉得百亚股份明天会涨停吗？评论区聊聊你的看法！ | 大家觉得百股份明天会涨停吗？评论区聊聊你的看法！
据最新公告，辽源拟进行重大资产重组，已申请停牌。 | 据最新公告，辽宁能源拟进行重大资产重组，已申请停牌。 | 据最新公告，辽源拟进行重大资产重组，已申请停牌。
在股吧里，很多散户都在讨论鱼跃疗下周会不会涨停。 | 在股吧里，很多散户都在讨论鱼跃医疗下周会不会涨停。 | 在股吧里，很多散户都在讨论鱼跃疗下周会不会涨停。
据最新公告，剑智拟进行重大资产重组，已申请停牌。 | 据最新公告，兰剑智能拟进行重大资产重组，已申请停牌。 | 据最新公告，剑智拟进行重大资产重组，已申请停牌。
宏观政策利好下，都科技所属板块有望迎来估值修复。 | 宏观政策利好下，佳都科技所属板块有望迎来估值修复。 | 宏观政策利好下，深科技所属板块有望迎来估值修复。
有用户在论坛上提问：'秦床的股息率今年还有可能提升吗？' | 有用户在论坛上提问：'秦川机床的股息率今年还有可能提升吗？' | 有用户在论坛上提问：'秦床的股息率今年还有可能提升吗？'
宏观政策利好下，新天所属板块有望迎来估值修复。 | 宏观政策利好下，新疆天业所属板块有望迎来估值修复。 | 宏观政策利好下，新天所属板块有望迎来估值修复。
市场传闻ST光即将获得重磅订单，引发资金提前布局。 | 市场传闻ST曙光即将获得重磅订单，引发资金提前布局。 | 市场传闻ST光即将获得重磅订单，引发资金提前布局。
宏观政策利好下，ST腾信所属板块有望迎来估值修复。 | 宏观政策利好下，*ST腾信所属板块有望迎来估值修复。 | 宏观政策利好下，ST腾信所属板块有望迎来估值修复。
有用户在论坛发帖称：城香江的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：城地香江的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：城香江的技术面出现金叉信号，值得关注。
客服您好，我想查询一下科创新的股票开户和交易费率。 | 客服您好，我想查询一下科创新源的股票开户和交易费率。 | 客服您好，我想查询一下科创新的股票开户和交易费率。
行业分析指出，金枫酒在细分赛道具备显著的先发优势。 | 行业分析指出，金枫酒业在细分赛道具备显著的先发优势。 | 行业分析指出，金枫酒在细分赛道具备显著的先发优势。
大家觉得宸展电这波回调到位了吗？想听听各位高见。 | 大家觉得宸展光电这波回调到位了吗？想听听各位高见。 | 大家觉得宸展电这波回调到位了吗？想听听各位高见。
股吧里都在传，杭州林下周可能有重磅合作消息公布！ | 股吧里都在传，杭州园林下周可能有重磅合作消息公布！ | 股吧里都在传，杭州林下周可能有重磅合作消息公布！
有用户在论坛发帖称：丸份的庄家正在悄悄吸筹，后市可期。 | 有用户在论坛发帖称：丸美股份的庄家正在悄悄吸筹，后市可期。 | 有用户在论坛发帖称：股份的庄家正在悄悄吸筹，后市可期。
本季度，金在细分市场的占有率逆势提升了三个百分点。 | 本季度，金鸿顺在细分市场的占有率逆势提升了三个百分点。 | 本季度，金在细分市场的占有率逆势提升了三个百分点。
有用户在论坛发帖称：天时尚的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：天创时尚的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：天时尚的技术面出现金叉信号，值得关注。
行业分析指出，鼎技在细分赛道具备显著的技术护城河。 | 行业分析指出，宝鼎科技在细分赛道具备显著的技术护城河。 | 行业分析指出，科技在细分赛道具备显著的技术护城河。
您好，我想咨询一下农华这支股票的分红政策是怎样的？ | 您好，我想咨询一下中农立华这支股票的分红政策是怎样的？ | 您好，我想咨询一下农华这支股票的分红政策是怎样的？
据最新公告，卧龙电拟进行重大资产重组，已申请停牌。 | 据最新公告，卧龙电驱拟进行重大资产重组，已申请停牌。 | 据最新公告，卧龙电拟进行重大资产重组，已申请停牌。
客服您好，请问如何开通ST荣的港股通交易权限？ | 客服您好，请问如何开通*ST荣华的港股通交易权限？ | 客服您好，请问如何开通ST股的港股通交易权限？
客服您好，请问如何查询道份的历史分红记录？ | 客服您好，请问如何查询道森股份的历史分红记录？ | 客服您好，请问如何查询股份的历史分红记录？
客服记录显示，客户多次咨询东微的分红派息具体到账时间。 | 客服记录显示，客户多次咨询东微半导的分红派息具体到账时间。 | 客服记录显示，客户多次咨询东微的分红派息具体到账时间。
股吧里都在传，缆科下周可能有重磅合作消息公布！ | 股吧里都在传，长缆科技下周可能有重磅合作消息公布！ | 股吧里都在传，万科下周可能有重磅合作消息公布！
客服记录显示，客户咨询梓橦的分红派息具体到账时间。 | 客服记录显示，客户咨询梓橦宫的分红派息具体到账时间。 | 客服记录显示，客户咨询梓业的分红派息具体到账时间。
据最新公告，锦泓团拟进行重大资产重组，已申请停牌。 | 据最新公告，锦泓集团拟进行重大资产重组，已申请停牌。 | 据最新公告，锦集团拟进行重大资产重组，已申请停牌。
据最新公告，黑芝拟进行重大资产重组，已申请停牌。 | 据最新公告，黑芝麻拟进行重大资产重组，已申请停牌。 | 据最新公告，黑芝拟进行重大资产重组，已申请停牌。
市场传闻财信正与某行业巨头洽谈战略合作，引发投资者热议。 | 市场传闻财信发展正与某行业巨头洽谈战略合作，引发投资者热议。 | 市场传闻财信正与某行业巨头洽谈战略合作，引发投资者热议。
请问贵公司鹏科技的ESG报告何时发布？想参考投资。 | 请问贵公司展鹏科技的ESG报告何时发布？想参考投资。 | 请问贵公司鹏科技的ESG报告何时发布？想参考投资。
深度报告认为，*S沈机在细分赛道具备显著的先发优势。 | 深度报告认为，*ST沈机在细分赛道具备显著的先发优势。 | 深度报告认为，*S精机在细分赛道具备显著的先发优势。
您好，我想咨询一下康股份这支股票的分红政策。 | 您好，我想咨询一下亚康股份这支股票的分红政策。 | 您好，我想咨询一下康股份这支股票的分红政策。
快讯：桂金今日获北向资金净买入超亿元，市场关注度提升。 | 快讯：桂林三金今日获北向资金净买入超亿元，市场关注度提升。 | 快讯：基金今日获北向资金净买入超亿元，市场关注度提升。
据最新公告，东易拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，东易日盛拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，东易拟以自有资金回购不超过总股本5%的股份。
突发：市场传闻金矿业正与某国际巨头洽谈战略合作。 | 突发：市场传闻金瑞矿业正与某国际巨头洽谈战略合作。 | 突发：市场传闻金矿业正与某国际巨头洽谈战略合作。
据最新消息，嘉友国已向证监会提交了IPO申请材料。 | 据最新消息，嘉友国际已向证监会提交了IPO申请材料。 | 据最新消息，嘉友国已向证监会提交了IPO申请材料。
市场传闻成生物即将获得大额订单，引发资金抢筹。 | 市场传闻成大生物即将获得大额订单，引发资金抢筹。 | 市场传闻成生物即将获得大额订单，引发资金抢筹。
深度报告认为，新金在ESG领域的领先地位是其长期价值的关键。 | 深度报告认为，新力金融在ESG领域的领先地位是其长期价值的关键。 | 深度报告认为，新金在ESG领域的领先地位是其长期价值的关键。
有用户在论坛发帖称，锦科的技术面已出现金叉信号。 | 有用户在论坛发帖称，锦浪科技的技术面已出现金叉信号。 | 有用户在论坛发帖称，锦科的技术面已出现金叉信号。
据最新公告，铂科新拟进行重大资产重组，已申请停牌。 | 据最新公告，铂科新材拟进行重大资产重组，已申请停牌。 | 据最新公告，铂科新拟进行重大资产重组，已申请停牌。
有用户发帖称：德的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：德威退的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：我的技术面出现金叉信号，可以抄底吗？
本季度，通技的毛利率环比提升显著，超出市场预期。 | 本季度，浩通科技的毛利率环比提升显著，超出市场预期。 | 本季度，通技的毛利率环比提升显著，超出市场预期。
